transaction_id,account_id,txn_date,amount,currency,region,channel,status
TXN-0001,ACC-1001,2023-01-01,120.50,USD,US,WEB,SUCCESS
TXN-0002,ACC-1002,2023-01-02,80.00,USD,US,MOBILE,SUCCESS
TXN-0003,ACC-1003,2023-01-03,45.00,EUR,EU,WEB,FAILED
TXN-0004,ACC-1004,2023-01-04,200.00,USD,US,POS,SUCCESS
TXN-0005,ACC-1005,2023-01-05,60.00,EUR,EU,WEB,SUCCESS
TXN-0006,ACC-1006,2023-01-06,150.75,USD,US,MOBILE,SUCCESS
TXN-0007,ACC-1007,2023-01-07,90.00,EUR,EU,POS,FAILED
TXN-0008,ACC-1008,2023-01-08,300.00,USD,US,WEB,SUCCESS
TXN-0009,ACC-1009,2023-01-09,55.25,EUR,EU,MOBILE,SUCCESS
TXN-0010,ACC-1010,2023-01-10,175.50,USD,US,WEB,SUCCESS
TXN-0011,ACC-1011,2023-01-11,40.00,EUR,EU,POS,FAILED
TXN-0012,ACC-1012,2023-01-12,250.00,USD,US,MOBILE,SUCCESS
TXN-0013,ACC-1013,2023-01-13,70.75,EUR,EU,WEB,SUCCESS
TXN-0014,ACC-1014,2023-01-14,95.00,USD,US,POS,SUCCESS
TXN-0015,ACC-1015,2023-01-15,110.50,EUR,EU,MOBILE,SUCCESS
TXN-0016,ACC-1016,2023-01-16,350.00,USD,US,WEB,SUCCESS
TXN-0017,ACC-1017,2023-01-17,25.00,EUR,EU,WEB,FAILED
TXN-0018,ACC-1018,2023-01-18,180.25,USD,US,MOBILE,SUCCESS
TXN-0019,ACC-1019,2023-01-19,65.00,EUR,EU,POS,SUCCESS
TXN-0020,ACC-1020,2023-01-20,220.75,USD,US,WEB,SUCCESS
TXN-0021,ACC-1021,2023-01-21,85.50,EUR,EU,MOBILE,FAILED
TXN-0022,ACC-1022,2023-01-22,140.00,USD,US,POS,SUCCESS
TXN-0023,ACC-1023,2023-01-23,50.25,EUR,EU,WEB,SUCCESS
TXN-0024,ACC-1024,2023-01-24,275.00,USD,US,MOBILE,SUCCESS
TXN-0025,ACC-1025,2023-01-25,105.75,EUR,EU,WEB,SUCCESS
TXN-0026,ACC-1026,2023-01-26,190.50,USD,US,POS,SUCCESS
TXN-0027,ACC-1027,2023-01-27,75.00,EUR,EU,MOBILE,FAILED
TXN-0028,ACC-1028,2023-01-28,320.25,USD,US,WEB,SUCCESS
TXN-0029,ACC-1029,2023-01-29,125.00,EUR,EU,WEB,SUCCESS
TXN-0030,ACC-1030,2023-01-30,160.75,USD,US,MOBILE,SUCCESS

